Pos,Team,W,L,Pct,GB
1,Minnesota Timberwolves,39,16,.709,'-
10,Golden State Warriors,27,26,.509,11.0
11,Utah Jazz,26,30,.464,13.5
12,Houston Rockets,24,30,.444,14.5
13,Memphis Grizzlies,20,36,.357,19.5
14,Portland Trail Blazers,15,39,.278,23.5
15,San Antonio Spurs,11,44,.200,28.0
2,Oklahoma City Thunder,37,17,.685,1.5
3,Los Angeles Clippers,36,17,.679,2.0
4,Denver Nuggets,36,19,.655,3.0
5,Phoenix Suns,33,22,.600,6.0
6,New Orleans Pelicans,33,22,.600,6.0
7,Dallas Mavericks,32,23,.582,7.0
8,Sacramento Kings,31,23,.574,7.5
9,Los Angeles Lakers,30,26,.536,9.5
